Play,Character,Total Speeches,Scenes Appeared,Speech Share (%),Avg Speeches/Scene,Role Type
The Tragedy of Macbeth,Messenger,6,3,0.92,2.0,side
The Tragedy of Macbeth,Third Murderer,6,1,0.92,6.0,side
The Tragedy of Macbeth,Second Murderer,6,2,0.92,3.0,side
The Tragedy of Macbeth,MENTEITH,5,2,0.77,2.5,main
The Tragedy of Macbeth,SEYTON,5,2,0.77,2.5,main
The Tragedy of Macbeth,Servant,5,2,0.77,2.5,side
The Tragedy of Macbeth,YOUNG SIWARD,4,1,0.62,4.0,main
The Tragedy of Macbeth,Old Man,4,1,0.62,4.0,side
The Tragedy of Macbeth,Porter,4,1,0.62,4.0,side
The Tragedy of Macbeth,ANGUS,4,2,0.62,2.0,main
The Tragedy of Macbeth,Lords,3,1,0.46,3.0,side
The Tragedy of Macbeth,Lord,3,1,0.46,3.0,side
The Tragedy of Macbeth,DONALBAIN,3,1,0.46,3.0,main
The Tragedy of Macbeth,CAITHNESS,3,1,0.46,3.0,main
The Tragedy of Macbeth,Sergeant,3,1,0.46,3.0,side
The Tragedy of Macbeth,HECATE,2,2,0.31,1.0,main
The Tragedy of Macbeth,Second Apparition,2,1,0.31,2.0,side
The Tragedy of Macbeth,FLEANCE,2,1,0.31,2.0,main
The Tragedy of Macbeth,Both Murderers,2,1,0.31,2.0,side
The Tragedy of Macbeth,First Apparition,1,1,0.15,1.0,side
The Tragedy of Macbeth,Third Apparition,1,1,0.15,1.0,side
The Tragedy of Macbeth,ATTENDANT,1,1,0.15,1.0,side
The Tragedy of Macbeth,Soldiers,1,1,0.15,1.0,side
The Tragedy of Romeo and Juliet,ROMEO,163,14,19.43,11.64,main
The Tragedy of Romeo and Juliet,JULIET,118,11,14.06,10.73,main
The Tragedy of Romeo and Juliet,Nurse,89,11,10.61,8.09,side
The Tragedy of Romeo and Juliet,BENVOLIO,64,7,7.63,9.14,main
The Tragedy of Romeo and Juliet,MERCUTIO,62,4,7.39,15.5,main
The Tragedy of Romeo and Juliet,FRIAR LAURENCE,55,7,6.56,7.86,main
The Tragedy of Romeo and Juliet,CAPULET,50,9,5.96,5.56,main
The Tragedy of Romeo and Juliet,LADY CAPULET,44,10,5.24,4.4,main
The Tragedy of Romeo and Juliet,PARIS,23,5,2.74,4.6,main
The Tragedy of Romeo and Juliet,SAMPSON,20,1,2.38,20.0,main
The Tragedy of Romeo and Juliet,TYBALT,17,3,2.03,5.67,main
The Tragedy of Romeo and Juliet,PRINCE,16,3,1.91,5.33,side
The Tragedy of Romeo and Juliet,GREGORY,15,1,1.79,15.0,main
The Tragedy of Romeo and Juliet,PETER,13,2,1.55,6.5,main
The Tragedy of Romeo and Juliet,BALTHASAR,12,2,1.43,6.0,main
The Tragedy of Romeo and Juliet,Servant,10,3,1.19,3.33,side
The Tragedy of Romeo and Juliet,MONTAGUE,10,3,1.19,3.33,main
The Tragedy of Romeo and Juliet,First Musician,9,1,1.07,9.0,side
The Tragedy of Romeo and Juliet,First Watchman,6,1,0.72,6.0,side
The Tragedy of Romeo and Juliet,Second Servant,6,3,0.72,2.0,side
The Tragedy of Romeo and Juliet,ABRAHAM,5,1,0.6,5.0,main
The Tragedy of Romeo and Juliet,FRIAR JOHN,4,1,0.48,4.0,main
The Tragedy of Romeo and Juliet,PAGE,4,1,0.48,4.0,side
The Tragedy of Romeo and Juliet,Apothecary,4,1,0.48,4.0,side
The Tragedy of Romeo and Juliet,First Servant,4,2,0.48,2.0,side
The Tragedy of Romeo and Juliet,Second Musician,3,1,0.36,3.0,side
The Tragedy of Romeo and Juliet,First Citizen,3,2,0.36,1.5,side
The Tragedy of Romeo and Juliet,Second Capulet,2,1,0.24,2.0,side
The Tragedy of Romeo and Juliet,LADY MONTAGUE,2,1,0.24,2.0,main
The Tragedy of Romeo and Juliet,Musician,1,1,0.12,1.0,side
The Tragedy of Romeo and Juliet,Third Musician,1,1,0.12,1.0,side
The Tragedy of Romeo and Juliet,LADY  CAPULET,1,1,0.12,1.0,side
The Tragedy of Romeo and Juliet,NURSE,1,1,0.12,1.0,side
The Tragedy of Romeo and Juliet,Second Watchman,1,1,0.12,1.0,side
The Tragedy of Romeo and Juliet,Third Watchman,1,1,0.12,1.0,side
