Play,Act,Scene,Speeches,Dialogue Lines,Unique Speakers
A Midsummer Night's Dream,1,1,49,255,7
A Midsummer Night's Dream,1,2,41,101,7
A Midsummer Night's Dream,2,1,39,273,6
A Midsummer Night's Dream,2,2,23,154,8
A Midsummer Night's Dream,3,1,67,193,12
A Midsummer Night's Dream,3,2,112,485,7
A Midsummer Night's Dream,4,1,50,222,14
A Midsummer Night's Dream,4,2,14,41,5
A Midsummer Night's Dream,5,1,103,425,15
