Play,Character,Total Speeches,Total Lines,Scenes Appeared,Acts Appeared,Speech Share (%),Line Share (%),Avg Speeches/Scene,Avg Lines/Speech,Verbosity,Talkativeness,Dominance,Focus (Lines/Act),Breadth (Scene Ratio),Role Type
"The Tragedy of Hamlet, Prince of Denmark",PLAYER KING,4,44,1,1,0.35,1.09,4.0,11.0,11.0,4.0,1.09,44.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",BERNARDO,23,38,2,1,2.0,0.94,11.5,1.65,1.65,11.5,0.94,38.0,0.1,main
"The Tragedy of Hamlet, Prince of Denmark",PLAYER QUEEN,5,30,1,1,0.43,0.75,5.0,6.0,6.0,5.0,0.75,30.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",PRINCE FORTINBRAS,6,27,2,2,0.52,0.67,3.0,4.5,4.5,3.0,0.67,13.5,0.1,side
"The Tragedy of Hamlet, Prince of Denmark",GENTLEMAN,3,24,1,1,0.26,0.6,3.0,8.0,8.0,3.0,0.6,24.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",VOLTIMAND,2,22,2,2,0.17,0.55,1.0,11.0,11.0,1.0,0.55,11.0,0.1,main
"The Tragedy of Hamlet, Prince of Denmark",SECOND CLOWN,12,18,1,1,1.04,0.45,12.0,1.5,1.5,12.0,0.45,18.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",REYNALDO,13,15,1,1,1.13,0.37,13.0,1.15,1.15,13.0,0.37,15.0,0.05,main
"The Tragedy of Hamlet, Prince of Denmark",FIRST PRIEST,2,13,1,1,0.17,0.32,2.0,6.5,6.5,2.0,0.32,13.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",CAPTAIN,7,12,1,1,0.61,0.3,7.0,1.71,1.71,7.0,0.3,12.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",FRANCISCO,8,10,1,1,0.7,0.25,8.0,1.25,1.25,8.0,0.25,10.0,0.05,main
"The Tragedy of Hamlet, Prince of Denmark",LORD,3,7,1,1,0.26,0.17,3.0,2.33,2.33,3.0,0.17,7.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",LUCIANUS,1,6,1,1,0.09,0.15,1.0,6.0,6.0,1.0,0.15,6.0,0.05,main
"The Tragedy of Hamlet, Prince of Denmark",FIRST AMBASSADOR,1,6,1,1,0.09,0.15,1.0,6.0,6.0,1.0,0.15,6.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",MESSENGER,2,5,1,1,0.17,0.12,2.0,2.5,2.5,2.0,0.12,5.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",FIRST SAILOR,2,5,1,1,0.17,0.12,2.0,2.5,2.5,2.0,0.12,5.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",ALL,4,4,4,3,0.35,0.1,1.0,1.0,1.0,1.0,0.1,1.33,0.2,side
"The Tragedy of Hamlet, Prince of Denmark",DANES,3,3,1,1,0.26,0.07,3.0,1.0,1.0,3.0,0.07,3.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",PROLOGUE,1,3,1,1,0.09,0.07,1.0,3.0,3.0,1.0,0.07,3.0,0.05,side
"The Tragedy of Hamlet, Prince of Denmark",CORNELIUS,1,1,1,1,0.09,0.02,1.0,1.0,1.0,1.0,0.02,1.0,0.05,main
"The Tragedy of Hamlet, Prince of Denmark",SERVANT,1,1,1,1,0.09,0.02,1.0,1.0,1.0,1.0,0.02,1.0,0.05,side
The Tragedy of Macbeth,MACBETH,146,719,15,5,22.46,30.13,9.73,4.92,4.92,9.73,30.13,143.8,0.54,main
The Tragedy of Macbeth,LADY MACBETH,59,265,9,4,9.08,11.11,6.56,4.49,4.49,6.56,11.11,66.25,0.32,main
The Tragedy of Macbeth,MALCOLM,40,212,8,4,6.15,8.89,5.0,5.3,5.3,5.0,8.89,53.0,0.29,main
The Tragedy of Macbeth,MACDUFF,59,180,7,3,9.08,7.54,8.43,3.05,3.05,8.43,7.54,60.0,0.25,main
The Tragedy of Macbeth,ROSS,39,135,7,5,6.0,5.66,5.57,3.46,3.46,5.57,5.66,27.0,0.25,main
The Tragedy of Macbeth,BANQUO,33,113,7,3,5.08,4.74,4.71,3.42,3.42,4.71,4.74,37.67,0.25,main
The Tragedy of Macbeth,LENNOX,22,74,6,5,3.38,3.1,3.67,3.36,3.36,3.67,3.1,14.8,0.21,main
The Tragedy of Macbeth,DUNCAN,18,70,3,1,2.77,2.93,6.0,3.89,3.89,6.0,2.93,70.0,0.11,main
The Tragedy of Macbeth,FIRST WITCH,23,62,4,3,3.54,2.6,5.75,2.7,2.7,5.75,2.6,20.67,0.14,side
The Tragedy of Macbeth,PORTER,4,46,1,1,0.62,1.93,4.0,11.5,11.5,4.0,1.93,46.0,0.04,side
The Tragedy of Macbeth,DOCTOR,20,45,3,2,3.08,1.89,6.67,2.25,2.25,6.67,1.89,22.5,0.11,side
The Tragedy of Macbeth,LADY MACDUFF,19,41,1,1,2.92,1.72,19.0,2.16,2.16,19.0,1.72,41.0,0.04,main
The Tragedy of Macbeth,HECATE,2,39,2,2,0.31,1.63,1.0,19.5,19.5,1.0,1.63,19.5,0.07,main
The Tragedy of Macbeth,SERGEANT,3,35,1,1,0.46,1.47,3.0,11.67,11.67,3.0,1.47,35.0,0.04,side
The Tragedy of Macbeth,SIWARD,11,30,4,1,1.69,1.26,2.75,2.73,2.73,2.75,1.26,30.0,0.14,main
The Tragedy of Macbeth,FIRST MURDERER,19,30,4,2,2.92,1.26,4.75,1.58,1.58,4.75,1.26,15.0,0.14,side
The Tragedy of Macbeth,SECOND WITCH,15,27,3,2,2.31,1.13,5.0,1.8,1.8,5.0,1.13,13.5,0.11,side
The Tragedy of Macbeth,THIRD WITCH,13,27,3,2,2.0,1.13,4.33,2.08,2.08,4.33,1.13,13.5,0.11,side
The Tragedy of Macbeth,ALL,13,24,5,4,2.0,1.01,2.6,1.85,1.85,2.6,1.01,6.0,0.18,side
The Tragedy of Macbeth,GENTLEWOMAN,11,23,1,1,1.69,0.96,11.0,2.09,2.09,11.0,0.96,23.0,0.04,side
The Tragedy of Macbeth,MESSENGER,6,23,3,3,0.92,0.96,2.0,3.83,3.83,2.0,0.96,7.67,0.11,side
The Tragedy of Macbeth,ANGUS,4,21,2,2,0.62,0.88,2.0,5.25,5.25,2.0,0.88,10.5,0.07,main
The Tragedy of Macbeth,LORD,3,21,1,1,0.46,0.88,3.0,7.0,7.0,3.0,0.88,21.0,0.04,side
The Tragedy of Macbeth,SON,14,20,1,1,2.15,0.84,14.0,1.43,1.43,14.0,0.84,20.0,0.04,side
The Tragedy of Macbeth,SECOND MURDERER,6,15,2,1,0.92,0.63,3.0,2.5,2.5,3.0,0.63,15.0,0.07,side
The Tragedy of Macbeth,MENTEITH,5,12,2,1,0.77,0.5,2.5,2.4,2.4,2.5,0.5,12.0,0.07,main
The Tragedy of Macbeth,OLD MAN,4,11,1,1,0.62,0.46,4.0,2.75,2.75,4.0,0.46,11.0,0.04,side
The Tragedy of Macbeth,CAITHNESS,3,11,1,1,0.46,0.46,3.0,3.67,3.67,3.0,0.46,11.0,0.04,main
The Tragedy of Macbeth,DONALBAIN,3,10,1,1,0.46,0.42,3.0,3.33,3.33,3.0,0.42,10.0,0.04,main
The Tragedy of Macbeth,THIRD MURDERER,6,8,1,1,0.92,0.34,6.0,1.33,1.33,6.0,0.34,8.0,0.04,side
The Tragedy of Macbeth,YOUNG SIWARD,4,7,1,1,0.62,0.29,4.0,1.75,1.75,4.0,0.29,7.0,0.04,main
The Tragedy of Macbeth,SERVANT,5,5,2,2,0.77,0.21,2.5,1.0,1.0,2.5,0.21,2.5,0.07,side
The Tragedy of Macbeth,SEYTON,5,5,2,1,0.77,0.21,2.5,1.0,1.0,2.5,0.21,5.0,0.07,main
The Tragedy of Macbeth,THIRD APPARITION,1,5,1,1,0.15,0.21,1.0,5.0,5.0,1.0,0.21,5.0,0.04,side
The Tragedy of Macbeth,SECOND APPARITION,2,4,1,1,0.31,0.17,2.0,2.0,2.0,2.0,0.17,4.0,0.04,side
The Tragedy of Macbeth,LORDS,3,3,1,1,0.46,0.13,3.0,1.0,1.0,3.0,0.13,3.0,0.04,side
The Tragedy of Macbeth,BOTH MURDERERS,2,2,1,1,0.31,0.08,2.0,1.0,1.0,2.0,0.08,2.0,0.04,side
The Tragedy of Macbeth,FIRST APPARITION,1,2,1,1,0.15,0.08,1.0,2.0,2.0,1.0,0.08,2.0,0.04,side
The Tragedy of Macbeth,FLEANCE,2,2,1,1,0.31,0.08,2.0,1.0,1.0,2.0,0.08,2.0,0.04,main
The Tragedy of Macbeth,SOLDIERS,1,1,1,1,0.15,0.04,1.0,1.0,1.0,1.0,0.04,1.0,0.04,side
The Tragedy of Macbeth,ATTENDANT,1,1,1,1,0.15,0.04,1.0,1.0,1.0,1.0,0.04,1.0,0.04,side
The Tragedy of Romeo and Juliet,ROMEO,163,612,14,4,19.43,19.97,11.64,3.75,3.75,11.64,19.97,153.0,0.58,main
The Tragedy of Romeo and Juliet,JULIET,118,544,11,5,14.06,17.75,10.73,4.61,4.61,10.73,17.75,108.8,0.46,main
The Tragedy of Romeo and Juliet,FRIAR LAURENCE,55,351,7,4,6.56,11.45,7.86,6.38,6.38,7.86,11.45,87.75,0.29,main
The Tragedy of Romeo and Juliet,NURSE,90,281,12,4,5.364999999999999,4.579999999999999,4.545,6.03,6.03,4.545,4.579999999999999,38.5,0.25,side
The Tragedy of Romeo and Juliet,CAPULET,50,273,9,4,5.96,8.91,5.56,5.46,5.46,5.56,8.91,68.25,0.38,main
The Tragedy of Romeo and Juliet,MERCUTIO,62,261,4,3,7.39,8.52,15.5,4.21,4.21,15.5,8.52,87.0,0.17,main
The Tragedy of Romeo and Juliet,BENVOLIO,64,160,7,3,7.63,5.22,9.14,2.5,2.5,9.14,5.22,53.33,0.29,main
The Tragedy of Romeo and Juliet,LADY CAPULET,45,115,11,4,2.68,1.88,2.7,2.285,2.285,2.7,1.88,15.125,0.22999999999999998,main
The Tragedy of Romeo and Juliet,PRINCE,16,76,3,3,1.91,2.48,5.33,4.75,4.75,5.33,2.48,25.33,0.12,side
The Tragedy of Romeo and Juliet,PARIS,23,70,5,4,2.74,2.28,4.6,3.04,3.04,4.6,2.28,17.5,0.21,main
The Tragedy of Romeo and Juliet,MONTAGUE,10,41,3,3,1.19,1.34,3.33,4.1,4.1,3.33,1.34,13.67,0.12,main
The Tragedy of Romeo and Juliet,TYBALT,17,36,3,2,2.03,1.17,5.67,2.12,2.12,5.67,1.17,18.0,0.12,main
The Tragedy of Romeo and Juliet,PETER,13,33,2,2,1.55,1.08,6.5,2.54,2.54,6.5,1.08,16.5,0.08,main
The Tragedy of Romeo and Juliet,BALTHASAR,12,32,2,1,1.43,1.04,6.0,2.67,2.67,6.0,1.04,32.0,0.08,main
The Tragedy of Romeo and Juliet,SAMPSON,20,31,1,1,2.38,1.01,20.0,1.55,1.55,20.0,1.01,31.0,0.04,main
The Tragedy of Romeo and Juliet,SERVANT,10,23,3,1,1.19,0.75,3.33,2.3,2.3,3.33,0.75,23.0,0.12,side
The Tragedy of Romeo and Juliet,GREGORY,15,20,1,1,1.79,0.65,15.0,1.33,1.33,15.0,0.65,20.0,0.04,main
The Tragedy of Romeo and Juliet,FIRST WATCHMAN,6,19,1,1,0.72,0.62,6.0,3.17,3.17,6.0,0.62,19.0,0.04,side
The Tragedy of Romeo and Juliet,FRIAR JOHN,4,13,1,1,0.48,0.42,4.0,3.25,3.25,4.0,0.42,13.0,0.04,main
The Tragedy of Romeo and Juliet,SECOND SERVANT,6,12,3,2,0.72,0.39,2.0,2.0,2.0,2.0,0.39,6.0,0.12,side
The Tragedy of Romeo and Juliet,FIRST SERVANT,4,10,2,2,0.48,0.33,2.0,2.5,2.5,2.0,0.33,5.0,0.08,side
The Tragedy of Romeo and Juliet,PAGE,4,9,1,1,0.48,0.29,4.0,2.25,2.25,4.0,0.29,9.0,0.04,side
The Tragedy of Romeo and Juliet,FIRST MUSICIAN,9,9,1,1,1.07,0.29,9.0,1.0,1.0,9.0,0.29,9.0,0.04,side
The Tragedy of Romeo and Juliet,APOTHECARY,4,7,1,1,0.48,0.23,4.0,1.75,1.75,4.0,0.23,7.0,0.04,side
The Tragedy of Romeo and Juliet,FIRST CITIZEN,3,6,2,2,0.36,0.2,1.5,2.0,2.0,1.5,0.2,3.0,0.08,side
The Tragedy of Romeo and Juliet,ABRAHAM,5,5,1,1,0.6,0.16,5.0,1.0,1.0,5.0,0.16,5.0,0.04,main
The Tragedy of Romeo and Juliet,SECOND MUSICIAN,3,4,1,1,0.36,0.13,3.0,1.33,1.33,3.0,0.13,4.0,0.04,side
The Tragedy of Romeo and Juliet,SECOND CAPULET,2,3,1,1,0.24,0.1,2.0,1.5,1.5,2.0,0.1,3.0,0.04,side
The Tragedy of Romeo and Juliet,LADY MONTAGUE,2,3,1,1,0.24,0.1,2.0,1.5,1.5,2.0,0.1,3.0,0.04,main
The Tragedy of Romeo and Juliet,THIRD WATCHMAN,1,3,1,1,0.12,0.1,1.0,3.0,3.0,1.0,0.1,3.0,0.04,side
The Tragedy of Romeo and Juliet,MUSICIAN,1,1,1,1,0.12,0.03,1.0,1.0,1.0,1.0,0.03,1.0,0.04,side
The Tragedy of Romeo and Juliet,SECOND WATCHMAN,1,1,1,1,0.12,0.03,1.0,1.0,1.0,1.0,0.03,1.0,0.04,side
The Tragedy of Romeo and Juliet,THIRD MUSICIAN,1,1,1,1,0.12,0.03,1.0,1.0,1.0,1.0,0.03,1.0,0.04,side
